book_id,isbn,authors,original_publication_year,title
1,439023483,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)"
2,439554934,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
3,316015849,Stephenie Meyer,2005,"Twilight (Twilight, #1)"
4,61120081,Harper Lee,1960,To Kill a Mockingbird
5,743273567,F. Scott Fitzgerald,1925,The Great Gatsby
6,525478817,John Green,2012,The Fault in Our Stars
7,618260307,J.R.R. Tolkien,1937,The Hobbit
8,316769177,J.D. Salinger,1951,The Catcher in the Rye
9,1416524797,Dan Brown,2000,"Angels & Demons  (Robert Langdon, #1)"
10,679783261,Jane Austen,1813,Pride and Prejudice
11,1594480001,Khaled Hosseini,2003,The Kite Runner
12,62024035,Veronica Roth,2011,"Divergent (Divergent, #1)"
13,451524934,"George Orwell, Erich Fromm, Celâl Üster",1949,1984
14,452284244,George Orwell,1945,Animal Farm
15,553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl
16,307269752,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)"
17,439023491,Suzanne Collins,2009,"Catching Fire (The Hunger Games, #2)"
18,043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
19,618346252,J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings, #1)"
20,439023513,Suzanne Collins,2010,"Mockingjay (The Hunger Games, #3)"
21,439358078,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
22,316166685,Alice Sebold,2002,The Lovely Bones
23,439064864,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)"
24,439139600,"J.K. Rowling, Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
25,545010225,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)"
26,307277674,Dan Brown,2003,"The Da Vinci Code (Robert Langdon, #2)"
