book_id,isbn,authors,original_publication_year,title
1,0439023483,Suzanne Collins,2008,"The Hunger Games (The Hunger Games, #1)"
2,0439554934,"J.K. Rowling, Mary GrandPré",1997,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)"
3,0316015849,Stephenie Meyer,2005,"Twilight (Twilight, #1)"
4,0061120081,Harper Lee,1960,To Kill a Mockingbird
5,0743273567,F. Scott Fitzgerald,1925,The Great Gatsby
6,0525478817,John Green,2012,The Fault in Our Stars
7,0618260307,J.R.R. Tolkien,1937,The Hobbit
8,0316769177,J.D. Salinger,1951,The Catcher in the Rye
9,0001416524797,Dan Brown,2000,"Angels & Demons  (Robert Langdon, #1)"
10,0679783261,Jane Austen,1813,Pride and Prejudice
11,0001594480001,Khaled Hosseini,2003,The Kite Runner
12,0062024035,Veronica Roth,2011,"Divergent (Divergent, #1)"
13,0451524934,"George Orwell, Erich Fromm, Celâl Üster",1949,1984
14,0452284244,George Orwell,1945,Animal Farm
15,0553296981,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",1947,The Diary of a Young Girl
16,0307269752,"Stieg Larsson, Reg Keeland",2005,"The Girl with the Dragon Tattoo (Millennium, #1)"
17,0439023491,Suzanne Collins,2009,"Catching Fire (The Hunger Games, #2)"
18,000043965548X,"J.K. Rowling, Mary GrandPré, Rufus Beck",1999,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)"
19,0618346252,J.R.R. Tolkien,1954,"The Fellowship of the Ring (The Lord of the Rings, #1)"
20,0439023513,Suzanne Collins,2010,"Mockingjay (The Hunger Games, #3)"
21,0439358078,"J.K. Rowling, Mary GrandPré",2003,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)"
22,0316166685,Alice Sebold,2002,The Lovely Bones
23,0439064864,"J.K. Rowling, Mary GrandPré",1998,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)"
24,0439139600,"J.K. Rowling, Mary GrandPré",2000,"Harry Potter and the Goblet of Fire (Harry Potter, #4)"
25,0545010225,"J.K. Rowling, Mary GrandPré",2007,"Harry Potter and the Deathly Hallows (Harry Potter, #7)"
26,0307277674,Dan Brown,2003,"The Da Vinci Code (Robert Langdon, #2)"
27,0439785960,"J.K. Rowling, Mary GrandPré",2005,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)"
28,0140283331,William Golding,1954,Lord of the Flies
29,0743477111,"William Shakespeare, Robert           Jackson",1595,Romeo and Juliet
30,0297859382,Gillian Flynn,2012,Gone Girl
31,0399155341,Kathryn Stockett,2009,The Help
32,0142000671,John Steinbeck,1937,Of Mice and Men
33,0739326228,Arthur Golden,1997,Memoirs of a Geisha
34,0001612130291,E.L. James,2011,"Fifty Shades of Grey (Fifty Shades, #1)"
35,0061122416,"Paulo Coelho, Alan R. Clarke",1988,The Alchemist
36,0385732554,Lois Lowry,1993,"The Giver (The Giver, #1)"
37,0060764899,C.S. Lewis,1950,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)"
38,0965818675,Audrey Niffenegger,2003,The Time Traveler's Wife
39,0553588486,George R.R. Martin,1996,"A Game of Thrones (A Song of Ice and Fire, #1)"
40,0143038419,Elizabeth Gilbert,2006,"Eat, Pray, Love"
41,0786838655,Rick Riordan,2005,"The Lightning Thief (Percy Jackson and the Olympians, #1)"
42,0451529308,Louisa May Alcott,1868,"Little Women (Little Women, #1)"
43,0142437204,"Charlotte Brontë, Michael Mason",1847,Jane Eyre
44,0553816713,Nicholas Sparks,1996,"The Notebook (The Notebook, #1)"
45,0770430074,Yann Martel,2001,Life of Pi
46,0001565125606,Sara Gruen,2006,Water for Elephants
47,0375831002,Markus Zusak,2005,The Book Thief
48,0307347974,Ray Bradbury,1953,Fahrenheit 451
49,0316160199,Stephenie Meyer,2006,"New Moon (Twilight, #2)"
50,0060513039,Shel Silverstein,1974,Where the Sidewalk Ends
51,0001416914285,Cassandra Clare,2007,"City of Bones (The Mortal Instruments, #1)"
52,0316160202,Stephenie Meyer,2007,"Eclipse (Twilight, #3)"
53,0375826696,Christopher Paolini,2002,"Eragon (The Inheritance Cycle, #1)"
54,0345391802,Douglas Adams,1979,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)"
55,0060929871,Aldous Huxley,1932,Brave New World
56,000031606792X,Stephenie Meyer,2008,"Breaking Dawn (Twilight, #4)"
57,0142001740,Sue Monk Kidd,2001,The Secret Life of Bees
58,0142437174,"Mark Twain, John Seelye, Guy Cardwell",1884,The Adventures of Huckleberry Finn
59,0064410935,"E.B. White, Garth Williams, Rosemary Wells",1952,Charlotte's Web
60,0001400032717,Mark Haddon,2003,The Curious Incident of the Dog in the Night-Time
61,0001594633665,Paula Hawkins,2015,The Girl on the Train
62,0679879242,Philip Pullman,1995,"The Golden Compass (His Dark Materials, #1)"
63,0393978893,"Emily Brontë, Richard J. Dunn",1847,Wuthering Heights
64,0743454537,Jodi Picoult,2004,My Sister's Keeper
65,0385333846,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five
66,0446675539,Margaret Mitchell,1936,Gone with the Wind
67,0001594489505,Khaled Hosseini,2007,A Thousand Splendid Suns
68,0671027344,Stephen Chbosky,1999,The Perks of Being a Wallflower
69,0007442912,Veronica Roth,2012,"Insurgent (Divergent, #2)"
70,0812550706,Orson Scott Card,1985,"Ender's Game (Ender's Saga, #1)"
71,0141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,Frankenstein
72,0450040186,Stephen King,1977,The Shining (The Shining #1)
73,0316068047,Stephenie Meyer,2008,"The Host (The Host, #1)"
74,0142402516,John Green,2005,Looking for Alaska
75,000014028009X,Helen Fielding,1996,"Bridget Jones's Diary (Bridget Jones, #1)"
76,0141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility
77,0439244196,"Louis Sachar, Louis Sachar",1998,"Holes (Holes, #1)"
78,0307275558,Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada, #1)"
79,0143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,The Odyssey
80,0156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince
81,000074324754X,Jeannette Walls,2005,The Glass Castle
82,0385486804,Jon Krakauer,1996,Into the Wild
83,0141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities
84,000030734813X,Michael Crichton,1990,"Jurassic Park (Jurassic Park, #1)"
85,0060256656,Shel Silverstein,1964,The Giving Tree
86,0385338600,John Grisham,1989,A Time to Kill
87,0374500010,"Elie Wiesel, Marion Wiesel",1958,Night (The Night Trilogy #1)
88,000014241493X,John Green,2008,Paper Towns
89,0345418263,William Goldman,1973,The Princess Bride 
90,000014038572X,S.E. Hinton,1967,The Outsiders
91,0385737947,James Dashner,2009,"The Maze Runner (Maze Runner, #1)"
92,0061234001,"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)"
93,0517189607,Frances Hodgson Burnett,1911,The Secret Garden
94,0060531045,"Gabriel García Márquez, Gregory Rabassa",1967,One Hundred Years of Solitude
95,0375751513,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray
96,0345803507,E.L. James,2012,"Fifty Shades Freed (Fifty Shades, #3)"
97,0393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula
98,0307269981,"Stieg Larsson, Reg Keeland",2006,"The Girl Who Played with Fire (Millennium, #2)"
99,0001612130585,E.L. James,2011,"Fifty Shades Darker (Fifty Shades, #2)"
100,0060786507,Barbara Kingsolver,1998,The Poisonwood Bible
101,0349113912,David Sedaris,2000,Me Talk Pretty One Day
102,0099408392,Maurice Sendak,1963,Where the Wild Things Are
103,0140449264,"Alexandre Dumas, Robin Buss",1844,The Count of Monte Cristo
104,0307265439,Cormac McCarthy,2006,The Road
105,0007524277,Veronica Roth,2013,"Allegiant (Divergent, #3)"
106,,Tina Fey,2011,Bossypants
107,0446693804,Nicholas Sparks,1999,A Walk to Remember
108,0440241413,Sophie Kinsella,2000,"Confessions of a Shopaholic (Shopaholic, #1)"
109,0451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables
110,0553381695,George R.R. Martin,1998,"A Clash of Kings  (A Song of Ice and Fire, #2)"
111,0143037145,Kim Edwards,2005,The Memory Keeper's Daughter
112,0670026603,Jojo Moyes,2012,"Me Before You (Me Before You, #1)"
113,0684833395,Joseph Heller,1961,Catch-22
114,0751529818,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie
115,0312422156,Jeffrey Eugenides,2002,Middlesex
116,0143039563,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer
117,0440498058,Madeleine L'Engle,1962,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)"
118,0143038095,Amy Tan,1989,The Joy Luck Club
119,000038549081X,Margaret Atwood,1985,The Handmaid's Tale
120,0385729332,Ann Brashares,2001,"The Sisterhood of the Traveling Pants (Sisterhood, #1)"
121,,"Vladimir Nabokov, Craig Raine",1955,Lolita
122,0060987103,"Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)"
123,0582418275,John Grisham,1991,"The Firm (Penguin Readers, Level 5)"
124,0316098337,Emma Donoghue,2010,Room
125,0521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600,Hamlet
126,0340839937,Frank Herbert,1965,Dune (Dune Chronicles #1)
127,0316346624,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference
128,0001451648537,Walter Isaacson,2011,Steve Jobs
129,0451163966,Ken Kesey,1962,One Flew Over the Cuckoo's Nest
130,0684830493,Ernest Hemingway,1952,The Old Man and the Sea
131,0142000663,John Steinbeck,1939,The Grapes of Wrath
132,0001401308589,Mitch Albom,2003,The Five People You Meet in Heaven
133,0451528824,L.M. Montgomery,1908,"Anne of Green Gables (Anne of Green Gables, #1)"
134,0001416914307,Cassandra Clare,2009,"City of Glass (The Mortal Instruments, #3)"
135,000055357342X,George R.R. Martin,2000,"A Storm of Swords (A Song of Ice and Fire, #3)"
136,000006075995X,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood
137,0440242940,Diana Gabaldon,1991,"Outlander (Outlander, #1)"
138,0142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter
139,0001594744769,Ransom Riggs,2011,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)"
140,000030726999X,"Stieg Larsson, Reg Keeland",2007,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)"
141,0804139024,Andy Weir,2012,The Martian
142,0451207149,Ken Follett,1989,"The Pillars of the Earth (The Kingsbridge Series, #1)"
143,0001476746583,Anthony Doerr,2014,All the Light We Cannot See
144,0001400064163,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption"
145,0671027387,Dan Brown,2001,Deception Point
146,0316055433,Donna Tartt,2013,The Goldfinch
147,0001595141715,Jay Asher,2007,Thirteen Reasons Why
148,0452287022,Tracy Chevalier,1999,Girl with a Pearl Earring
149,0525421033,Gayle Forman,2009,"If I Stay (If I Stay, #1)"
150,0312353766,Anita Diamant,1997,The Red Tent
151,0786856866,Rick Riordan,2006,"The Sea of Monsters (Percy Jackson and the Olympians, #2)"
152,0446528056,Nicholas Sparks,2006,Dear John
153,0001416914293,Cassandra Clare,2008,"City of Ashes (The Mortal Instruments, #2)"
154,0743477103,William Shakespeare,1606,Macbeth
155,0618346260,J.R.R. Tolkien,1954,"The Two Towers (The Lord of the Rings, #2)"
156,000031232118X,Emily Giffin,2004,"Something Borrowed (Darcy & Rachel, #1)"
157,0394800168,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham
158,0142403881,"Roald Dahl, Quentin Blake",1964,"Charlie and the Chocolate Factory (Charlie Bucket, #1)"
159,0001423101464,Rick Riordan,2008,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)"
160,0192833596,Charles Dickens,1860,Great Expectations
161,0345339738,J.R.R. Tolkien,1955,"The Return of the King (The Lord of the Rings, #3)"
162,,"Albert Camus, Matthew    Ward",1942,The Stranger
163,000142311339X,Rick Riordan,2010,"The Lost Hero (The Heroes of Olympus, #1)"
164,0001250012570,Rainbow Rowell,2013,Eleanor & Park
165,000055358202X,George R.R. Martin,2005,"A Feast for Crows (A Song of Ice and Fire, #4)"
166,0525423648,Ally Condie,2010,"Matched (Matched, #1)"
167,0747263744,Neil Gaiman,2001,"American Gods (American Gods, #1)"
168,0385199570,"Stephen King, Bernie Wrightson",1978,The Stand
169,0446547565,Nicholas Sparks,2008,The Last Song
170,0552151696,Dan Brown,1998,Digital Fortress
171,0141439580,"Jane Austen, Fiona Stafford",1815,Emma
172,0345803922,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Anna Karenina
173,0393312836,Anthony Burgess,1962,A Clockwork Orange
174,0964729237,William Paul Young,2007,The Shack
175,0739380338,Rick Riordan,2009,"The Last Olympian (Percy Jackson and the Olympians, #5)"
176,0451169514,Stephen King,1986,It
177,0143058142,"Fyodor Dostoyevsky, David McDuff",1866,Crime and Punishment
178,0061148512,Sylvia Plath,1963,The Bell Jar
179,0007205236,Frank McCourt,1996,"Angela's Ashes (Frank McCourt, #1)"
180,0553208845,"Hermann Hesse, Hilda Rosner",1922,Siddhartha
181,0679745580,Truman Capote,1965,In Cold Blood
182,0316042676,"Kami Garcia, Margaret Stohl",2009,"Beautiful Creatures (Caster Chronicles, #1)"
183,0001416975861,Cassandra Clare,2010,"Clockwork Angel (The Infernal Devices, #1)"
184,0141301066,"Roald Dahl, Quentin Blake",1988,Matilda
185,0385534639,Erin Morgenstern,2011,The Night Circus
186,0743227441,Philippa Gregory,2001,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)"
187,0689865384,Scott Westerfeld,2005,"Uglies (Uglies, #1)"
188,,George R.R. Martin,2011,"A Dance with Dragons (A Song of Ice and Fire, #5)"
189,0618640150,J.R.R. Tolkien,1955,"The Lord of the Rings (The Lord of the Rings, #1-3)"
190,0307592731,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail
191,0930289234,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen
192,000075640407X,Patrick Rothfuss,2007,"The Name of the Wind (The Kingkiller Chronicle, #1)"
193,0316017922,Malcolm Gladwell,2008,Outliers: The Story of Success
194,0142437247,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby-Dick or, The Whale"
195,0385340990,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society
196,0393327345,Chuck Palahniuk,1996,Fight Club
197,0441008534,Charlaine Harris,2001,"Dead Until Dark (Sookie Stackhouse, #1)"
198,0671727796,Alice Walker,1982,The Color Purple
199,0739461192,John Grogan,2005,Marley and Me: Life and Love With the World's Worst Dog
200,0312330871,Agatha Christie,1939,And Then There Were None
201,0385504225,Dan Brown,2009,"The Lost Symbol (Robert Langdon, #3)"
202,0001416989412,Becca Fitzpatrick,2009,"Hush, Hush (Hush, Hush, #1)"
203,,Jamie McGuire,2011,"Beautiful Disaster (Beautiful, #1)"
204,0001561797464,Charles Dickens,1843,A Christmas Carol
205,0345476875,Anne Rice,1976,"Interview with the Vampire (The Vampire Chronicles, #1)"
206,0062059939,Kiera Cass,2012,"The Selection (The Selection, #1)"
207,0312362080,Janet Evanovich,1994,"One for the Money (Stephanie Plum, #1)"
208,0001400052173,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks
